nome                                        | form_type  | tipo
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
Curitiba                                    | pacote     | destino
Curitiba                                    | pacote     | destino
CURITIBA                                    | todos      | destino
CURITIBA                                    | todos      | destino
CURITIBA                                    | todos      | destino
CURITIBA                                    | todos      | destino
CURITIBA                                    | todos      | destino
CURITIBA                                    | todos      | destino
CURITIBA                                    | todos      | destino
CURITIBA                                    | todos      | destino
Disney Adventure                            | cruzeiro   | cruzeiro
Disney Adventure                            | cruzeiro   | cruzeiro
Disney Adventure                            | cruzeiro   | cruzeiro
Disney Cruise Line                          | cruzeiro   | cruzeiro
Disney Cruise Line                          | cruzeiro   | cruzeiro
Disney Cruise Line                          | cruzeiro   | cruzeiro
Disney Destiny                              | cruzeiro   | cruzeiro
Disney Dream                                | cruzeiro   | cruzeiro
Disney Dream                                | cruzeiro   | cruzeiro
Disney Dream                                | cruzeiro   | cruzeiro
Disney Fantasy                              | cruzeiro   | cruzeiro
Disney Magic                                | cruzeiro   | cruzeiro
Disney Treadure                             | cruzeiro   | cruzeiro
Disney Treasure                             | cruzeiro   | cruzeiro
Disney Treasure                             | cruzeiro   | cruzeiro
Disney Treasure (2)                         | cruzeiro   | cruzeiro
Disney Wish                                 | cruzeiro   | cruzeiro
Disney Wish                                 | cruzeiro   | cruzeiro
Disney Wonder                               | cruzeiro   | cruzeiro
Disneydream                                 | cruzeiro   | cruzeiro
Disneydream                                 | cruzeiro   | cruzeiro
Disneyfantasy                               | cruzeiro   | cruzeiro
Disneywish                                  | cruzeiro   | cruzeiro
Disneywonder                                | cruzeiro   | cruzeiro
El Aram Beach Cabo                          | pacote     | destino
Enotel                                      | hotel      | hotel
F53F2891-2DD3-437B-BD6F-DADB1A9062BE        | todos      | card
Fernando De Noronha                         | pacote     | destino
FERNANDO DE NORONHA                         | todos      | destino
FERNANDO DE NORONHA                         | todos      | destino
FERNANDO DE NORONHA                         | todos      | destino
FERNANDO DE NORONHA                         | todos      | destino
Florianopolis                               | pacote     | destino
Florianopolis                               | pacote     | destino
FLORIANÓPOLIS                               | todos      | destino
FLORIANÓPOLIS                               | todos      | destino
FLORIANÓPOLIS                               | todos      | destino
FLORIANÓPOLIS                               | todos      | destino
FLORIANÓPOLIS                               | todos      | destino
FLORIANÓPOLIS                               | todos      | destino
FLORIANÓPOLIS                               | todos      | destino
FLORIANÓPOLIS                               | todos      | destino
Florida                                     | pacote     | destino
FLÓRIDA                                     | todos      | destino
FLÓRIDA                                     | todos      | destino
FLÓRIDA                                     | todos      | destino
FLÓRIDA                                     | todos      | destino
FORT LAUDERDALE                             | todos      | destino
FORT LAUDERDALE                             | todos      | destino
FORT LAUDERDALE                             | todos      | destino
FORT LAUDERDALE                             | todos      | destino
FORT LAUDERDALE                             | todos      | destino
FORT LAUDERDALE                             | todos      | destino
FORT LAUDERDALE                             | todos      | destino
FORT LAUDERDALE                             | todos      | destino
Fortaleza                                   | pacote     | destino
Fortaleza                                   | pacote     | destino
Fortaleza                                   | pacote     | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
FORTALEZA                                   | todos      | destino
Fortaleza (2)                               | pacote     | destino
FORTALEZA_TO9TPB                            | todos      | card
Fortlauderdal                               | pacote     | destino
Fortlauderdale                              | pacote     | destino
Fortlauderdale                              | pacote     | destino
Fortlauderdale                              | pacote     | destino
FORTLAUDERDALE_YXLHBW                       | todos      | card
FOZ DO IGUAÇU                               | todos      | destino
FOZ DO IGUAÇU                               | todos      | destino
FOZ DO IGUAÇU                               | todos      | destino
FOZ DO IGUAÇU                               | todos      | destino
FOZ DO IGUAÇU                               | todos      | destino
FOZ DO IGUAÇU                               | todos      | destino
FOZ DO IGUAÇU                               | todos      | destino
Fozdoiguaçu                                 | pacote     | destino
Fozdoiguaçu                                 | pacote     | destino
Goiania                                     | pacote     | destino
GOIÂNIA                                     | todos      | destino
GOIÂNIA                                     | todos      | destino
GOIÂNIA                                     | todos      | destino
GOIÂNIA                                     | todos      | destino
GOIÂNIA                                     | todos      | destino
GOIÂNIA                                     | todos      | destino
GOIÂNIA                                     | todos      | destino
GOIÂNIA                                     | todos      | destino
Goiania (2)                                 | pacote     | destino
Gramado                                     | pacote     | destino
GRAMADO                                     | todos      | destino
GRAMADO                                     | todos      | destino
GRAMADO                                     | todos      | destino
GRAMADO                                     | todos      | destino
GRAMADO                                     | todos      | destino
GRAMADO                                     | todos      | destino
GRAMADO                                     | todos      | destino
GRAMADO                                     | todos      | destino
Gramado (2)                                 | pacote     | destino
Grand Oca Maragogi Resort                   | hotel      | hotel
Grand Palladium Imbassai Resort & Spa       | hotel      | hotel
Iberostar Selection                         | hotel      | hotel
Iberostar Waves Bahia                       | hotel      | hotel
Iberostar Waves Bahia                       | hotel      | hotel
Iberostar Waves Punta Cana                  | hotel      | hotel
Ilheus                                      | pacote     | destino
Ilheus                                      | pacote     | destino
Ilheus                                      | pacote     | destino
ILHÉUS                                      | todos      | destino
ILHÉUS                                      | todos      | destino
ILHÉUS                                      | todos      | destino
ILHÉUS                                      | todos      | destino
ILHÉUS                                      | todos      | destino
ILHÉUS                                      | todos      | destino
Itacare                                     | pacote     | destino
ITACARÉ                                     | todos      | destino
JOÃO PESSOA                                 | todos      | destino
JOÃO PESSOA                                 | todos      | destino
JOÃO PESSOA                                 | todos      | destino
Joaopessoa                                  | pacote     | destino
Joaopessoa                                  | pacote     | destino
Joaopessoa                                  | pacote     | destino
Latorrre                                    | pacote     | destino
Lisboa                                      | pacote     | destino
Lisboa                                      | pacote     | destino
Lisboa                                      | pacote     | destino
Lisboa                                      | pacote     | destino
LISBOA                                      | todos      | destino
LISBOA                                      | todos      | destino
LISBOA                                      | todos      | destino
LISBOA                                      | todos      | destino
Lisboa2 (1)                                 | pacote     | destino
Lisboa3 (1)                                 | pacote     | destino
Londrina                                    | pacote     | destino
LONDRINA                                    | todos      | destino
Maceio                                      | pacote     | destino
Maceio                                      | pacote     | destino
Maceio                                      | pacote     | destino
MACEIÓ                                      | todos      | destino
MACEIÓ                                      | todos      | destino
MACEIÓ                                      | todos      | destino
Maceiomarresort                             | pacote     | destino
Madrid                                      | pacote     | destino
Madrid                                      | pacote     | destino
Madrid                                      | pacote     | destino
MADRID                                      | todos      | destino
MADRID                                      | todos      | destino
MADRID                                      | todos      | destino
Madrid (2)                                  | pacote     | destino
Makai                                       | hotel      | hotel
Manaus                                      | pacote     | destino
MANAUS                                      | todos      | destino
Maragogi                                    | pacote     | destino
MARAGOGI                                    | todos      | destino
Mendoza                                     | pacote     | destino
MENDOZA                                     | todos      | destino
Mendoza (1)                                 | pacote     | destino
MÊS_DO_CONSUMIDOR_28_WWNF2H                 | todos      | card
Montevideo                                  | pacote     | destino
Montevideo                                  | pacote     | destino
MONTEVIDEO                                  | todos      | destino
MONTEVIDEO                                  | todos      | destino
Msc Belissima                               | cruzeiro   | cruzeiro
Msc Belissima                               | cruzeiro   | cruzeiro
Msc Belissima (2)                           | cruzeiro   | cruzeiro
Msc Divina                                  | cruzeiro   | cruzeiro
Msc Euribia                                 | cruzeiro   | cruzeiro
Msc Fantasia                                | cruzeiro   | cruzeiro
Msc Grandiosa                               | cruzeiro   | cruzeiro
Msc Grandiosa                               | cruzeiro   | cruzeiro
